grain,series_id,item_code,label,sb_class,total_qty_hist,model,model_params,rmsse,mase,smape,n_trials,n_backtest_folds,acc_change_vs_prev,large_threshold,p_large_week,p_large_4w,expected_large_size,last_large_week,customer,channel
sku_customer,"sku_customer::1006414|World Pacific Industrial H.K., Ltd.",1006414,교체형,intermittent,55433.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",8.967644417750528e-13,4.212440470672124e-12,2.0,11,6,,19894.6,4.037110498025152e-14,1.616484723854228e-13,20417.0,2023-12-04,"World Pacific Industrial H.K., Ltd.",
sku_customer,sku_customer::1009494|Patriot Memory Inc.,1009494,교체형,intermittent,55118.0,sba,{'alpha': 0.05},0.05216378541801818,0.274844459324389,2.0,11,6,0.013652508966809432,22016.2,0.00030948500982134987,0.0012373654720193583,25036.0,2025-11-17,Patriot Memory Inc.,
sku_customer,"sku_customer::1008504|World Pacific Industrial H.K., Ltd.",1008504,교체형,intermittent,54610.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",1.3498512127598318e-13,7.98201587499674e-13,2.0,11,6,,31563.8,5.451236173608164e-15,2.1760371282653068e-14,34403.0,2023-10-02,"World Pacific Industrial H.K., Ltd.",
sku_customer,sku_customer::2019671|Patriot Memory Inc.,2019671,교체형,intermittent,54568.0,sba,{'alpha': 0.05},0.022215017384733873,0.12051889869163275,2.0,11,6,0.01365250896680958,23660.4,0.007036874417766401,0.027851783406218966,28366.0,2026-02-23,Patriot Memory Inc.,
sku_customer,sku_customer::1008434|GOLDKEY TECHNOLOGY CORPORATION,1008434,교체형,lumpy,54184.0,croston,{'alpha': 0.1},12.278201490664115,44.344164412717966,1.997999084215208,10,6,,41156.600000000006,0.2,0.5903999999999999,50533.0,2026-06-08,GOLDKEY TECHNOLOGY CORPORATION,
sku_customer,"sku_customer::2017755|Hosin Global Electronics Co., Ltd",2017755,교체형,lumpy,53709.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",0.000621032984719985,0.002818429991055266,2.0,11,6,-0.5847631037275748,6997.4000000000015,1.046519160283969e-13,4.1877612488860905e-13,18693.0,2023-12-25,"Hosin Global Electronics Co., Ltd",
sku_customer,sku_customer::1006119|Skyrich View (HK) Limited,1006119,교체형,intermittent,53650.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.063473379769556e-11,2.2713821091604712e-10,2.0,11,6,,19275.8,2.4050869331467975e-13,9.618972285352356e-13,20205.0,2024-01-29,Skyrich View (HK) Limited,
sku_customer,sku_customer::2016864|GoldKey Technology Corporation,2016864,교체형,intermittent,52800.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",4.944968091408187e-08,2.3297277534412946e-07,2.0,11,6,,19200.0,1.8226013250328892e-09,7.290405168447478e-09,19200.0,2024-11-04,GoldKey Technology Corporation,
sku_customer,sku_customer::1008745|MF WAREHOUSING & LOGISTICS,1008745,교체형,lumpy,52636.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",3.291378423387802e-08,2.221647936213146e-07,2.0,11,6,,28881.4,4.4171176697628414e-09,1.76684705754937e-08,43227.0,2024-12-02,MF WAREHOUSING & LOGISTICS,
sku_customer,"sku_customer::2016910|World Pacific Industrial H.K., Ltd.",2016910,교체형,intermittent,51218.0,tsb,"{'alpha': 0.1, 'beta': 0.2}",5.320527498241709e-14,3.1306237066033393e-13,2.0,11,6,,29279.2,1.8253183137151213e-15,7.105427357601002e-15,31726.0,2023-08-28,"World Pacific Industrial H.K., Ltd.",
